State,Year,Cases
West Virginia,2002,3
Wisconsin,2002,22
Wyoming,2002,0
Alabama,2003,25
Alaska,2003,0
Arizona,2003,7
Arkansas,2003,23
California,2003,2
Colorado,2003,621
Connecticut,2003,12
Delaware,2003,12
Dist. of Columbia,2003,3
Florida,2003,61
Georgia,2003,27
Hawaii,2003,0
Idaho,2003,0
Illinois,2003,30
Indiana,2003,15
Iowa,2003,81
Kansas,2003,89
Kentucky,2003,11
Louisiana,2003,101
Maine,2003,0
Maryland,2003,49
Massachusetts,2003,12
Michigan,2003,14
Minnesota,2003,48
Mississippi,2003,34
Missouri,2003,39
Montana,2003,75
Nebraska,2003,194
Nevada,2003,2
New Hampshire,2003,2
New Jersey,2003,21
New Mexico,2003,74
New York,2003,57
North Carolina,2003,16
North Dakota,2003,94
Ohio,2003,84
Oklahoma,2003,56
Oregon,2003,0
Pennsylvania,2003,145
Puerto Rico,2003,0
Rhode Island,2003,5
South Carolina,2003,3
South Dakota,2003,151
Tennessee,2003,21
Texas,2003,431
Utah,2003,0
Vermont,2003,0
Virginia,2003,19
Washington,2003,0
West Virginia,2003,1
Wisconsin,2003,7
Wyoming,2003,92
Alabama,2004,15
Alaska,2004,0
Arizona,2004,215
Arkansas,2004,17
California,2004,291
Colorado,2004,41
Connecticut,2004,0
Delaware,2004,0
Dist. of Columbia,2004,1
Florida,2004,33
Georgia,2004,14
Hawaii,2004,0
Idaho,2004,1
Illinois,2004,29
Indiana,2004,8
Iowa,2004,13
Kansas,2004,18
Kentucky,2004,1
Louisiana,2004,85
Maine,2004,0
Maryland,2004,10
Massachusetts,2004,0
Michigan,2004,13
Minnesota,2004,13
Mississippi,2004,31
Missouri,2004,27
Montana,2004,2
Nebraska,2004,7
Nevada,2004,25
New Hampshire,2004,0
New Jersey,2004,1
New Mexico,2004,32
New York,2004,7
North Carolina,2004,3
North Dakota,2004,2
Ohio,2004,11
Oklahoma,2004,16
Oregon,2004,0
Pennsylvania,2004,10
Puerto Rico,2004,0
Rhode Island,2004,0
South Carolina,2004,0
South Dakota,2004,6
Tennessee,2004,13
Texas,2004,119
Utah,2004,6
Vermont,2004,0
Virginia,2004,5
Washington,2004,0
West Virginia,2004,0
Wisconsin,2004,5
Wyoming,2004,2
Alabama,2005,6
Alaska,2005,0
Arizona,2005,52
Arkansas,2005,13
California,2005,305
Colorado,2005,21
Connecticut,2005,4
Delaware,2005,1
Dist. of Columbia,2005,3
Florida,2005,10
Georgia,2005,9
Hawaii,2005,0
Idaho,2005,3
Illinois,2005,137
Indiana,2005,11
Iowa,2005,14
Kansas,2005,17
Kentucky,2005,5
Louisiana,2005,117
Maine,2005,0
Maryland,2005,4
Massachusetts,2005,4
Michigan,2005,54
Minnesota,2005,18
Mississippi,2005,39
Missouri,2005,17
Montana,2005,8
Nebraska,2005,55
Nevada,2005,14
New Hampshire,2005,0
New Jersey,2005,3
New Mexico,2005,20
New York,2005,30
North Carolina,2005,2
North Dakota,2005,12
Ohio,2005,46
Oklahoma,2005,17
Oregon,2005,1
Pennsylvania,2005,14
Puerto Rico,2005,0
Rhode Island,2005,1
South Carolina,2005,5
South Dakota,2005,36
Tennessee,2005,15
Texas,2005,128
Utah,2005,21
Vermont,2005,0
Virginia,2005,0
Washington,2005,0
West Virginia,2005,0
Wisconsin,2005,11
Wyoming,2005,6
Alabama,2006,8
Alaska,2006,0
Arizona,2006,68
Arkansas,2006,24
California,2006,81
Colorado,2006,66
Connecticut,2006,7
Delaware,2006,0
Dist. of Columbia,2006,0
Florida,2006,3
Georgia,2006,2
Hawaii,2006,0
Idaho,2006,139
Illinois,2006,127
Indiana,2006,27
Iowa,2006,22
Kansas,2006,17
Kentucky,2006,5
Louisiana,2006,91
Maine,2006,0
Maryland,2006,10
Massachusetts,2006,2
Michigan,2006,43
Minnesota,2006,31
Mississippi,2006,89
Missouri,2006,51
Montana,2006,12
Nebraska,2006,45
Nevada,2006,34
New Hampshire,2006,0
New Jersey,2006,2
New Mexico,2006,3
New York,2006,16
North Carolina,2006,1
North Dakota,2006,20
Ohio,2006,36
Oklahoma,2006,27
Oregon,2006,7
Pennsylvania,2006,8
Puerto Rico,2006,0
Rhode Island,2006,0
South Carolina,2006,1
South Dakota,2006,38
Tennessee,2006,16
Texas,2006,233
Utah,2006,56
Vermont,2006,0
Virginia,2006,0
Washington,2006,0
West Virginia,2006,1
Wisconsin,2006,11
Wyoming,2006,15
Alabama,2007,17
Alaska,2007,0
Arizona,2007,50
Arkansas,2007,13
California,2007,154
Colorado,2007,99
Connecticut,2007,2
Delaware,2007,1
Dist. of Columbia,2007,0
Florida,2007,3
Georgia,2007,23
Hawaii,2007,0
Idaho,2007,11
Illinois,2007,63
Indiana,2007,14
Iowa,2007,12
Kansas,2007,14
Kentucky,2007,4
Louisiana,2007,27
Maine,2007,0
Maryland,2007,6
Massachusetts,2007,3
Michigan,2007,16
Minnesota,2007,44
Mississippi,2007,50
Missouri,2007,61
Montana,2007,37
Nebraska,2007,21
Nevada,2007,2
New Hampshire,2007,0
New Jersey,2007,1
New Mexico,2007,39
New York,2007,16
North Carolina,2007,4
North Dakota,2007,49
Ohio,2007,13
Oklahoma,2007,59
Oregon,2007,7
Pennsylvania,2007,5
Puerto Rico,2007,0
Rhode Island,2007,0
South Carolina,2007,3
South Dakota,2007,48
Tennessee,2007,5
Texas,2007,170
Utah,2007,28
Vermont,2007,0
Virginia,2007,3
Washington,2007,0
West Virginia,2007,0
Wisconsin,2007,7
Wyoming,2007,23
Alabama,2008,11
Alaska,2008,0
Arizona,2008,62
Arkansas,2008,7
California,2008,292
Colorado,2008,17
Connecticut,2008,5
Delaware,2008,0
Dist. of Columbia,2008,4
Florida,2008,3
Georgia,2008,4
Hawaii,2008,0
Idaho,2008,4
Illinois,2008,12
Indiana,2008,3
Iowa,2008,3
Kansas,2008,14
Kentucky,2008,3
Louisiana,2008,18
Maine,2008,0
Maryland,2008,6
Massachusetts,2008,1
Michigan,2008,11
Minnesota,2008,2
Mississippi,2008,22
Missouri,2008,12
Montana,2008,0
Nebraska,2008,7
Nevada,2008,9
New Hampshire,2008,0
New Jersey,2008,6
New Mexico,2008,5
New York,2008,32
North Carolina,2008,2
North Dakota,2008,2
Ohio,2008,14
Oklahoma,2008,4
Oregon,2008,3
Pennsylvania,2008,12
Puerto Rico,2008,0
Rhode Island,2008,1
South Carolina,2008,0
South Dakota,2008,11
Tennessee,2008,12
Texas,2008,40
Utah,2008,6
Vermont,2008,0
Virginia,2008,0
Washington,2008,2
West Virginia,2008,1
Wisconsin,2008,4
Wyoming,2008,0
Alabama,2009,0
Alaska,2009,0
Arizona,2009,12
Arkansas,2009,6
California,2009,67
Colorado,2009,36
Connecticut,2009,0
Delaware,2009,0
Dist. of Columbia,2009,2
Florida,2009,2
Georgia,2009,4
Hawaii,2009,0
Idaho,2009,9
Illinois,2009,5
Indiana,2009,2
Iowa,2009,0
Kansas,2009,4
Kentucky,2009,3
Louisiana,2009,10
Maine,2009,0
Maryland,2009,0
Massachusetts,2009,0
Michigan,2009,1
Minnesota,2009,1
Mississippi,2009,31
Missouri,2009,4
Montana,2009,2
Nebraska,2009,11
Nevada,2009,7
New Hampshire,2009,0
New Jersey,2009,3
New Mexico,2009,6
New York,2009,6
North Carolina,2009,0
North Dakota,2009,0
Ohio,2009,0
Oklahoma,2009,8
Oregon,2009,1
Pennsylvania,2009,0
Puerto Rico,2009,0
Rhode Island,2009,0
South Carolina,2009,3
South Dakota,2009,6
Tennessee,2009,4
Texas,2009,93
Utah,2009,1
Vermont,2009,0
Virginia,2009,5
Washington,2009,26
West Virginia,2009,0
Wisconsin,2009,1
Wyoming,2009,4
Alabama,2010,1
Alaska,2010,0
Arizona,2010,107
Arkansas,2010,6
California,2010,72
Colorado,2010,26
Connecticut,2010,7
Delaware,2010,0
Dist. of Columbia,2010,3
Florida,2010,9
Georgia,2010,4
Hawaii,2010,0
Idaho,2010,0
Illinois,2010,45
Indiana,2010,6
Iowa,2010,5
Kansas,2010,4
Kentucky,2010,2
Louisiana,2010,20
Maine,2010,0
Maryland,2010,17
Massachusetts,2010,6
Michigan,2010,25
Minnesota,2010,4
Mississippi,2010,3
Missouri,2010,3
Montana,2010,0
Nebraska,2010,10
Nevada,2010,0
New Hampshire,2010,1
New Jersey,2010,15
New Mexico,2010,21
New York,2010,89
North Carolina,2010,0
North Dakota,2010,2
Ohio,2010,4
Oklahoma,2010,1
Oregon,2010,0
Pennsylvania,2010,19
Puerto Rico,2010,0
Rhode Island,2010,0
South Carolina,2010,1
South Dakota,2010,4
Tennessee,2010,2
Texas,2010,77
Utah,2010,1
Vermont,2010,0
Virginia,2010,4
Washington,2010,1
West Virginia,2010,0
Wisconsin,2010,0
Wyoming,2010,2
Alabama,2011,5
Alaska,2011,0
Arizona,2011,49
Arkansas,2011,1
California,2011,110
Colorado,2011,2
Connecticut,2011,8
Delaware,2011,1
Dist. of Columbia,2011,10
Florida,2011,20
Georgia,2011,14
Hawaii,2011,0
Idaho,2011,1
Illinois,2011,22
Indiana,2011,7
Iowa,2011,5
Kansas,2011,4
Kentucky,2011,4
Louisiana,2011,6
Maine,2011,0
Maryland,2011,10
Massachusetts,2011,5
Michigan,2011,32
Minnesota,2011,1
Mississippi,2011,31
Missouri,2011,6
Montana,2011,1
Nebraska,2011,14
Nevada,2011,12
New Hampshire,2011,0
New Jersey,2011,2
New Mexico,2011,4
New York,2011,28
North Carolina,2011,2
North Dakota,2011,1
Ohio,2011,10
Oklahoma,2011,1
Oregon,2011,0
Pennsylvania,2011,5
Puerto Rico,2011,0
Rhode Island,2011,1
South Carolina,2011,0
South Dakota,2011,0
Tennessee,2011,16
Texas,2011,20
Utah,2011,1
Vermont,2011,1
Virginia,2011,8
Washington,2011,0
West Virginia,2011,2
Wisconsin,2011,2
Wyoming,2011,1
Alabama,2012,38
Alaska,2012,0
Arizona,2012,87
Arkansas,2012,44
California,2012,297
Colorado,2012,62
Connecticut,2012,12
Delaware,2012,2
Dist. of Columbia,2012,8
Florida,2012,52
Georgia,2012,46
Hawaii,2012,0
Idaho,2012,5
Illinois,2012,187
Indiana,2012,46
Iowa,2012,11
Kansas,2012,20
Kentucky,2012,13
Louisiana,2012,155
Maine,2012,1
Maryland,2012,25
Massachusetts,2012,25
Michigan,2012,141
Minnesota,2012,34
Mississippi,2012,103
Missouri,2012,17
Montana,2012,1
Nebraska,2012,42
Nevada,2012,5
New Hampshire,2012,1
New Jersey,2012,22
New Mexico,2012,24
New York,2012,61
North Carolina,2012,7
North Dakota,2012,39
Ohio,2012,76
Oklahoma,2012,103
Oregon,2012,0
Pennsylvania,2012,33
Puerto Rico,2012,1
Rhode Island,2012,2
South Carolina,2012,20
South Dakota,2012,62
Tennessee,2012,19
Texas,2012,844
Utah,2012,3
Vermont,2012,1
Virginia,2012,20
Washington,2012,4
West Virginia,2012,5
Wisconsin,2012,44
Wyoming,2012,3
Alabama,2013,3
Alaska,2013,0
Arizona,2013,50
Arkansas,2013,16
California,2013,237
Colorado,2013,90
Connecticut,2013,1
Delaware,2013,3
Dist. of Columbia,2013,0
Florida,2013,5
Georgia,2013,4
Hawaii,2013,0
Idaho,2013,14
Illinois,2013,86
Indiana,2013,19
Iowa,2013,24
Kansas,2013,34
Kentucky,2013,1
Louisiana,2013,34
Maine,2013,0
Maryland,2013,11
Massachusetts,2013,7
Michigan,2013,24
Minnesota,2013,31
Mississippi,2013,27
Missouri,2013,24
Montana,2013,10
Nebraska,2013,54
Nevada,2013,8
New Hampshire,2013,1
New Jersey,2013,10
New Mexico,2013,24
New York,2013,18
North Carolina,2013,3
North Dakota,2013,64
Ohio,2013,21
Oklahoma,2013,60
Oregon,2013,7
Pennsylvania,2013,6
Puerto Rico,2013,0
Rhode Island,2013,1
South Carolina,2013,3
South Dakota,2013,57
Tennessee,2013,17
Texas,2013,113
Utah,2013,4
Vermont,2013,1
Virginia,2013,6
Washington,2013,0
West Virginia,2013,1
Wisconsin,2013,17
Wyoming,2013,16
Alabama,2014,0
Alaska,2014,0
Arizona,2014,80
Arkansas,2014,9
California,2014,561
Colorado,2014,46
Connecticut,2014,3
Delaware,2014,0
Dist. of Columbia,2014,1
Florida,2014,12
Georgia,2014,11
Hawaii,2014,0
Idaho,2014,6
Illinois,2014,36
Indiana,2014,9
Iowa,2014,5
Kansas,2014,18
Kentucky,2014,0
Louisiana,2014,61
Maine,2014,0
Maryland,2014,6
Massachusetts,2014,5
Michigan,2014,1
Minnesota,2014,6
Mississippi,2014,26
Missouri,2014,10
Montana,2014,2
Nebraska,2014,41
Nevada,2014,3
New Hampshire,2014,0
New Jersey,2014,6
New Mexico,2014,19
New York,2014,19
North Carolina,2014,0
North Dakota,2014,12
Ohio,2014,10
Oklahoma,2014,9
Oregon,2014,7
Pennsylvania,2014,11
Puerto Rico,2014,0
Rhode Island,2014,0
South Carolina,2014,3
South Dakota,2014,12
Tennessee,2014,12
Texas,2014,253
Utah,2014,1
Vermont,2014,0
Virginia,2014,5
Washington,2014,7
West Virginia,2014,0
Wisconsin,2014,3
Wyoming,2014,0
Alabama,2015,5
Alaska,2015,0
Arizona,2015,67
Arkansas,2015,16
California,2015,585
Colorado,2015,57
Connecticut,2015,8
Delaware,2015,0
Dist. of Columbia,2015,3
Florida,2015,12
Georgia,2015,13
Hawaii,2015,0
Idaho,2015,5
Illinois,2015,51
Indiana,2015,16
Iowa,2015,4
Kansas,2015,12
Kentucky,2015,1
Louisiana,2015,41
Maine,2015,1
Maryland,2015,31
Massachusetts,2015,7
Michigan,2015,16
Minnesota,2015,3
Mississippi,2015,25
Missouri,2015,23
Montana,2015,3
Nebraska,2015,19
Nevada,2015,4
New Hampshire,2015,0
New Jersey,2015,23
New Mexico,2015,12
New York,2015,42
North Carolina,2015,4
North Dakota,2015,10
Ohio,2015,23
Oklahoma,2015,49
Oregon,2015,0
Pennsylvania,2015,17
Puerto Rico,2015,0
Rhode Island,2015,0
South Carolina,2015,0
South Dakota,2015,11
Tennessee,2015,5
Texas,2015,196
Utah,2015,5
Vermont,2015,0
Virginia,2015,13
Washington,2015,8
West Virginia,2015,0
Wisconsin,2015,6
Wyoming,2015,3
Alabama,2016,13
Alaska,2016,0
Arizona,2016,57
Arkansas,2016,8
California,2016,335
Colorado,2016,59
Connecticut,2016,1
Delaware,2016,0
Dist. of Columbia,2016,1
Florida,2016,6
Georgia,2016,4
Hawaii,2016,0
Idaho,2016,3
Illinois,2016,98
Indiana,2016,15
Iowa,2016,16
Kansas,2016,18
Kentucky,2016,5
Louisiana,2016,38
Maine,2016,0
Maryland,2016,6
Massachusetts,2016,10
Michigan,2016,42
Minnesota,2016,38
Mississippi,2016,27
Missouri,2016,9
Montana,2016,3
Nebraska,2016,35
Nevada,2016,13
New Hampshire,2016,0
New Jersey,2016,11
New Mexico,2016,6
New York,2016,20
North Carolina,2016,2
North Dakota,2016,24
Ohio,2016,12
Oklahoma,2016,21
Oregon,2016,2
Pennsylvania,2016,12
Puerto Rico,2016,0
Rhode Island,2016,2
South Carolina,2016,6
South Dakota,2016,35
Tennessee,2016,3
Texas,2016,252
Utah,2016,7
Vermont,2016,2
Virginia,2016,6
Washington,2016,8
West Virginia,2016,0
Wisconsin,2016,10
Wyoming,2016,8
Alabama,2017,40
Alaska,2017,0
Arizona,2017,98
Arkansas,2017,15
California,2017,401
Colorado,2017,29
Connecticut,2017,2
Delaware,2017,0
Dist. of Columbia,2017,1
Florida,2017,4
Georgia,2017,44
Hawaii,2017,0
Idaho,2017,16
Illinois,2017,72
Indiana,2017,18
Iowa,2017,10
Kansas,2017,12
Kentucky,2017,9
Louisiana,2017,38
Maine,2017,0
Maryland,2017,5
Massachusetts,2017,5
Michigan,2017,32
Minnesota,2017,13
Mississippi,2017,46
Missouri,2017,17
Montana,2017,3
Nebraska,2017,19
Nevada,2017,31
New Hampshire,2017,0
New Jersey,2017,6
New Mexico,2017,23
New York,2017,45
North Carolina,2017,8
North Dakota,2017,20
Ohio,2017,23
Oklahoma,2017,34
Oregon,2017,3
Pennsylvania,2017,15
Puerto Rico,2017,0
Rhode Island,2017,1
South Carolina,2017,16
South Dakota,2017,27
Tennessee,2017,22
Texas,2017,87
Utah,2017,39
Vermont,2017,2
Virginia,2017,12
Washington,2017,10
West Virginia,2017,1
Wisconsin,2017,47
Wyoming,2017,4
Alabama,2018,16
Alaska,2018,1
Arizona,2018,25
Arkansas,2018,6
California,2018,154
Colorado,2018,52
Connecticut,2018,18
Delaware,2018,8
Dist. of Columbia,2018,7
Florida,2018,30
Georgia,2018,30
Hawaii,2018,0
Idaho,2018,10
Illinois,2018,126
Indiana,2018,26
Iowa,2018,59
Kansas,2018,23
Kentucky,2018,9
Louisiana,2018,56
Maine,2018,1
Maryland,2018,35
Massachusetts,2018,42
Michigan,2018,80
Minnesota,2018,34
Mississippi,2018,31
Missouri,2018,17
Montana,2018,25
Nebraska,2018,124
Nevada,2018,3
New Hampshire,2018,0
New Jersey,2018,44
New Mexico,2018,5
New York,2018,77
North Carolina,2018,10
North Dakota,2018,60
Ohio,2018,45
Oklahoma,2018,12
Oregon,2018,2
Pennsylvania,2018,95
Puerto Rico,2018,0
Rhode Island,2018,0
South Carolina,2018,12
South Dakota,2018,47
Tennessee,2018,11
Texas,2018,108
Utah,2018,7
Vermont,2018,1
Virginia,2018,38
Washington,2018,2
West Virginia,2018,2
Wisconsin,2018,29
Wyoming,2018,3
Alabama,2019,4
Alaska,2019,0
Arizona,2019,132
Arkansas,2019,7
California,2019,147
Colorado,2019,52
Connecticut,2019,1
Delaware,2019,0
Dist. of Columbia,2019,9
Florida,2019,2
Georgia,2019,9
Hawaii,2019,0
Idaho,2019,5
Illinois,2019,22
Indiana,2019,4
Iowa,2019,1
Kansas,2019,7
Kentucky,2019,4
Louisiana,2019,11
Maine,2019,0
Maryland,2019,6
Massachusetts,2019,2
Michigan,2019,11
Minnesota,2019,2
Mississippi,2019,12
Missouri,2019,4
Montana,2019,3
Nebraska,2019,17
Nevada,2019,34
New Hampshire,2019,0
New Jersey,2019,6
New Mexico,2019,30
New York,2019,14
North Carolina,2019,1
North Dakota,2019,2
Ohio,2019,3
Oklahoma,2019,6
Oregon,2019,6
Pennsylvania,2019,5
Puerto Rico,2019,0
Rhode Island,2019,0
South Carolina,2019,2
South Dakota,2019,0
Tennessee,2019,3
Texas,2019,24
Utah,2019,14
Vermont,2019,0
Virginia,2019,4
Washington,2019,3
West Virginia,2019,0
Wisconsin,2019,0
Wyoming,2019,2
