State,Year,Cases
West Virginia,2002,3
Wisconsin,2002,52
Wyoming,2002,2
Alabama,2003,37
Alaska,2003,0
Arizona,2003,13
Arkansas,2003,25
California,2003,3
Colorado,2003,2947
Connecticut,2003,17
Delaware,2003,17
"Washington, D.C.",2003,3
Florida,2003,94
Georgia,2003,50
Hawaii,2003,0
Idaho,2003,1
Illinois,2003,54
Indiana,2003,47
Iowa,2003,147
Kansas,2003,91
Kentucky,2003,14
Louisiana,2003,124
Maine,2003,0
Maryland,2003,73
Massachusetts,2003,17
Michigan,2003,19
Minnesota,2003,148
Mississippi,2003,87
Missouri,2003,64
Montana,2003,222
Nebraska,2003,1942
Nevada,2003,2
New Hampshire,2003,3
New Jersey,2003,34
New Mexico,2003,209
New York,2003,71
North Carolina,2003,24
North Dakota,2003,617
Ohio,2003,108
Oklahoma,2003,79
Oregon,2003,0
Pennsylvania,2003,237
Puerto Rico,2003,0
Rhode Island,2003,7
South Carolina,2003,6
South Dakota,2003,1039
Tennessee,2003,26
Texas,2003,720
Utah,2003,1
Vermont,2003,3
Virginia,2003,26
Washington,2003,0
West Virginia,2003,2
Wisconsin,2003,17
Wyoming,2003,375
Alabama,2004,16
Alaska,2004,0
Arizona,2004,391
Arkansas,2004,28
California,2004,779
Colorado,2004,291
Connecticut,2004,1
Delaware,2004,0
"Washington, D.C.",2004,2
Florida,2004,41
Georgia,2004,21
Hawaii,2004,0
Idaho,2004,3
Illinois,2004,60
Indiana,2004,13
Iowa,2004,23
Kansas,2004,43
Kentucky,2004,7
Louisiana,2004,109
Maine,2004,0
Maryland,2004,16
Massachusetts,2004,0
Michigan,2004,16
Minnesota,2004,34
Mississippi,2004,51
Missouri,2004,36
Montana,2004,6
Nebraska,2004,53
Nevada,2004,44
New Hampshire,2004,0
New Jersey,2004,1
New Mexico,2004,88
New York,2004,10
North Carolina,2004,3
North Dakota,2004,20
Ohio,2004,12
Oklahoma,2004,22
Oregon,2004,3
Pennsylvania,2004,15
Puerto Rico,2004,0
Rhode Island,2004,0
South Carolina,2004,2
South Dakota,2004,51
Tennessee,2004,14
Texas,2004,176
Utah,2004,11
Vermont,2004,0
Virginia,2004,5
Washington,2004,0
West Virginia,2004,0
Wisconsin,2004,12
Wyoming,2004,10
Alabama,2005,10
Alaska,2005,0
Arizona,2005,113
Arkansas,2005,28
California,2005,880
Colorado,2005,106
Connecticut,2005,6
Delaware,2005,2
"Washington, D.C.",2005,5
Florida,2005,21
Georgia,2005,20
Hawaii,2005,0
Idaho,2005,13
Illinois,2005,252
Indiana,2005,23
Iowa,2005,37
Kansas,2005,25
Kentucky,2005,5
Louisiana,2005,171
Maine,2005,0
Maryland,2005,5
Massachusetts,2005,6
Michigan,2005,62
Minnesota,2005,45
Mississippi,2005,70
Missouri,2005,30
Montana,2005,25
Nebraska,2005,188
Nevada,2005,31
New Hampshire,2005,0
New Jersey,2005,6
New Mexico,2005,33
New York,2005,38
North Carolina,2005,4
North Dakota,2005,86
Ohio,2005,61
Oklahoma,2005,31
Oregon,2005,7
Pennsylvania,2005,25
Puerto Rico,2005,0
Rhode Island,2005,1
South Carolina,2005,5
South Dakota,2005,229
Tennessee,2005,18
Texas,2005,195
Utah,2005,52
Vermont,2005,0
Virginia,2005,1
Washington,2005,0
West Virginia,2005,0
Wisconsin,2005,17
Wyoming,2005,12
Alabama,2006,8
Alaska,2006,0
Arizona,2006,150
Arkansas,2006,29
California,2006,278
Colorado,2006,345
Connecticut,2006,9
Delaware,2006,0
"Washington, D.C.",2006,2
Florida,2006,3
Georgia,2006,8
Hawaii,2006,0
Idaho,2006,996
Illinois,2006,215
Indiana,2006,80
Iowa,2006,37
Kansas,2006,30
Kentucky,2006,6
Louisiana,2006,180
Maine,2006,0
Maryland,2006,11
Massachusetts,2006,3
Michigan,2006,55
Minnesota,2006,65
Mississippi,2006,183
Missouri,2006,62
Montana,2006,34
Nebraska,2006,264
Nevada,2006,124
New Hampshire,2006,0
New Jersey,2006,5
New Mexico,2006,8
New York,2006,24
North Carolina,2006,1
North Dakota,2006,137
Ohio,2006,48
Oklahoma,2006,48
Oregon,2006,69
Pennsylvania,2006,9
Puerto Rico,2006,0
Rhode Island,2006,0
South Carolina,2006,1
South Dakota,2006,113
Tennessee,2006,22
Texas,2006,354
Utah,2006,158
Vermont,2006,0
Virginia,2006,5
Washington,2006,3
West Virginia,2006,1
Wisconsin,2006,21
Wyoming,2006,65
Alabama,2007,24
Alaska,2007,0
Arizona,2007,97
Arkansas,2007,20
California,2007,380
Colorado,2007,576
Connecticut,2007,4
Delaware,2007,1
"Washington, D.C.",2007,0
Florida,2007,3
Georgia,2007,50
Hawaii,2007,0
Idaho,2007,132
Illinois,2007,101
Indiana,2007,24
Iowa,2007,30
Kansas,2007,40
Kentucky,2007,4
Louisiana,2007,40
Maine,2007,0
Maryland,2007,10
Massachusetts,2007,6
Michigan,2007,17
Minnesota,2007,101
Mississippi,2007,136
Missouri,2007,77
Montana,2007,202
Nebraska,2007,163
Nevada,2007,12
New Hampshire,2007,0
New Jersey,2007,1
New Mexico,2007,60
New York,2007,22
North Carolina,2007,8
North Dakota,2007,369
Ohio,2007,23
Oklahoma,2007,107
Oregon,2007,26
Pennsylvania,2007,10
Puerto Rico,2007,0
Rhode Island,2007,1
South Carolina,2007,5
South Dakota,2007,208
Tennessee,2007,11
Texas,2007,260
Utah,2007,70
Vermont,2007,0
Virginia,2007,5
Washington,2007,0
West Virginia,2007,0
Wisconsin,2007,13
Wyoming,2007,181
Alabama,2008,18
Alaska,2008,0
Arizona,2008,114
Arkansas,2008,9
California,2008,445
Colorado,2008,71
Connecticut,2008,8
Delaware,2008,1
"Washington, D.C.",2008,8
Florida,2008,3
Georgia,2008,8
Hawaii,2008,0
Idaho,2008,39
Illinois,2008,20
Indiana,2008,4
Iowa,2008,6
Kansas,2008,31
Kentucky,2008,3
Louisiana,2008,49
Maine,2008,0
Maryland,2008,14
Massachusetts,2008,1
Michigan,2008,17
Minnesota,2008,10
Mississippi,2008,65
Missouri,2008,15
Montana,2008,5
Nebraska,2008,47
Nevada,2008,16
New Hampshire,2008,0
New Jersey,2008,10
New Mexico,2008,8
New York,2008,46
North Carolina,2008,3
North Dakota,2008,37
Ohio,2008,15
Oklahoma,2008,9
Oregon,2008,16
Pennsylvania,2008,14
Puerto Rico,2008,0
Rhode Island,2008,1
South Carolina,2008,1
South Dakota,2008,39
Tennessee,2008,19
Texas,2008,64
Utah,2008,26
Vermont,2008,0
Virginia,2008,1
Washington,2008,3
West Virginia,2008,1
Wisconsin,2008,8
Wyoming,2008,8
Alabama,2009,0
Alaska,2009,0
Arizona,2009,20
Arkansas,2009,6
California,2009,112
Colorado,2009,103
Connecticut,2009,0
Delaware,2009,0
"Washington, D.C.",2009,2
Florida,2009,3
Georgia,2009,4
Hawaii,2009,0
Idaho,2009,38
Illinois,2009,5
Indiana,2009,4
Iowa,2009,5
Kansas,2009,13
Kentucky,2009,3
Louisiana,2009,21
Maine,2009,0
Maryland,2009,1
Massachusetts,2009,0
Michigan,2009,1
Minnesota,2009,4
Mississippi,2009,53
Missouri,2009,5
Montana,2009,5
Nebraska,2009,52
Nevada,2009,12
New Hampshire,2009,0
New Jersey,2009,3
New Mexico,2009,8
New York,2009,7
North Carolina,2009,0
North Dakota,2009,1
Ohio,2009,2
Oklahoma,2009,10
Oregon,2009,11
Pennsylvania,2009,0
Puerto Rico,2009,0
Rhode Island,2009,0
South Carolina,2009,3
South Dakota,2009,21
Tennessee,2009,9
Texas,2009,115
Utah,2009,2
Vermont,2009,0
Virginia,2009,5
Washington,2009,38
West Virginia,2009,0
Wisconsin,2009,1
Wyoming,2009,12
Alabama,2010,3
Alaska,2010,0
Arizona,2010,167
Arkansas,2010,7
California,2010,111
Colorado,2010,81
Connecticut,2010,11
Delaware,2010,0
"Washington, D.C.",2010,6
Florida,2010,12
Georgia,2010,13
Hawaii,2010,0
Idaho,2010,1
Illinois,2010,61
Indiana,2010,13
Iowa,2010,9
Kansas,2010,19
Kentucky,2010,3
Louisiana,2010,27
Maine,2010,0
Maryland,2010,23
Massachusetts,2010,7
Michigan,2010,29
Minnesota,2010,8
Mississippi,2010,8
Missouri,2010,3
Montana,2010,0
Nebraska,2010,39
Nevada,2010,2
New Hampshire,2010,1
New Jersey,2010,30
New Mexico,2010,25
New York,2010,128
North Carolina,2010,0
North Dakota,2010,9
Ohio,2010,5
Oklahoma,2010,1
Oregon,2010,0
Pennsylvania,2010,28
Puerto Rico,2010,0
Rhode Island,2010,0
South Carolina,2010,1
South Dakota,2010,20
Tennessee,2010,4
Texas,2010,89
Utah,2010,2
Vermont,2010,0
Virginia,2010,5
Washington,2010,2
West Virginia,2010,0
Wisconsin,2010,2
Wyoming,2010,6
Alabama,2011,5
Alaska,2011,0
Arizona,2011,69
Arkansas,2011,1
California,2011,158
Colorado,2011,7
Connecticut,2011,9
Delaware,2011,1
"Washington, D.C.",2011,15
Florida,2011,24
Georgia,2011,22
Hawaii,2011,0
Idaho,2011,3
Illinois,2011,34
Indiana,2011,9
Iowa,2011,9
Kansas,2011,4
Kentucky,2011,5
Louisiana,2011,10
Maine,2011,0
Maryland,2011,19
Massachusetts,2011,6
Michigan,2011,34
Minnesota,2011,2
Mississippi,2011,52
Missouri,2011,10
Montana,2011,1
Nebraska,2011,29
Nevada,2011,16
New Hampshire,2011,0
New Jersey,2011,7
New Mexico,2011,4
New York,2011,44
North Carolina,2011,2
North Dakota,2011,4
Ohio,2011,21
Oklahoma,2011,1
Oregon,2011,0
Pennsylvania,2011,6
Puerto Rico,2011,0
Rhode Island,2011,1
South Carolina,2011,0
South Dakota,2011,2
Tennessee,2011,18
Texas,2011,27
Utah,2011,3
Vermont,2011,1
Virginia,2011,9
Washington,2011,0
West Virginia,2011,2
Wisconsin,2011,3
Wyoming,2011,3
Alabama,2012,62
Alaska,2012,0
Arizona,2012,133
Arkansas,2012,64
California,2012,479
Colorado,2012,131
Connecticut,2012,21
Delaware,2012,9
"Washington, D.C.",2012,10
Florida,2012,73
Georgia,2012,99
Hawaii,2012,0
Idaho,2012,17
Illinois,2012,290
Indiana,2012,77
Iowa,2012,31
Kansas,2012,56
Kentucky,2012,23
Louisiana,2012,335
Maine,2012,1
Maryland,2012,47
Massachusetts,2012,33
Michigan,2012,202
Minnesota,2012,70
Mississippi,2012,247
Missouri,2012,20
Montana,2012,6
Nebraska,2012,193
Nevada,2012,9
New Hampshire,2012,1
New Jersey,2012,48
New Mexico,2012,47
New York,2012,107
North Carolina,2012,7
North Dakota,2012,89
Ohio,2012,121
Oklahoma,2012,191
Oregon,2012,11
Pennsylvania,2012,60
Puerto Rico,2012,1
Rhode Island,2012,4
South Carolina,2012,29
South Dakota,2012,203
Tennessee,2012,33
Texas,2012,1868
Utah,2012,5
Vermont,2012,3
Virginia,2012,30
Washington,2012,4
West Virginia,2012,10
Wisconsin,2012,57
Wyoming,2012,7
Alabama,2013,9
Alaska,2013,0
Arizona,2013,62
Arkansas,2013,18
California,2013,379
Colorado,2013,322
Connecticut,2013,4
Delaware,2013,3
"Washington, D.C.",2013,1
Florida,2013,7
Georgia,2013,10
Hawaii,2013,0
Idaho,2013,40
Illinois,2013,117
Indiana,2013,23
Iowa,2013,44
Kansas,2013,91
Kentucky,2013,3
Louisiana,2013,54
Maine,2013,0
Maryland,2013,16
Massachusetts,2013,8
Michigan,2013,36
Minnesota,2013,79
Mississippi,2013,45
Missouri,2013,29
Montana,2013,38
Nebraska,2013,226
Nevada,2013,11
New Hampshire,2013,1
New Jersey,2013,12
New Mexico,2013,38
New York,2013,32
North Carolina,2013,3
North Dakota,2013,125
Ohio,2013,24
Oklahoma,2013,89
Oregon,2013,16
Pennsylvania,2013,11
Puerto Rico,2013,0
Rhode Island,2013,1
South Carolina,2013,7
South Dakota,2013,149
Tennessee,2013,24
Texas,2013,183
Utah,2013,7
Vermont,2013,2
Virginia,2013,6
Washington,2013,1
West Virginia,2013,1
Wisconsin,2013,21
Wyoming,2013,41
Alabama,2014,2
Alaska,2014,0
Arizona,2014,107
Arkansas,2014,11
California,2014,801
Colorado,2014,118
Connecticut,2014,6
Delaware,2014,0
"Washington, D.C.",2014,3
Florida,2014,17
Georgia,2014,13
Hawaii,2014,1
Idaho,2014,19
Illinois,2014,44
Indiana,2014,10
Iowa,2014,15
Kansas,2014,54
Kentucky,2014,1
Louisiana,2014,125
Maine,2014,0
Maryland,2014,6
Massachusetts,2014,6
Michigan,2014,1
Minnesota,2014,21
Mississippi,2014,43
Missouri,2014,13
Montana,2014,5
Nebraska,2014,142
Nevada,2014,3
New Hampshire,2014,0
New Jersey,2014,8
New Mexico,2014,24
New York,2014,26
North Carolina,2014,0
North Dakota,2014,23
Ohio,2014,11
Oklahoma,2014,18
Oregon,2014,8
Pennsylvania,2014,13
Puerto Rico,2014,0
Rhode Island,2014,0
South Carolina,2014,3
South Dakota,2014,57
Tennessee,2014,16
Texas,2014,379
Utah,2014,2
Vermont,2014,0
Virginia,2014,7
Washington,2014,12
West Virginia,2014,0
Wisconsin,2014,6
Wyoming,2014,5
Alabama,2015,9
Alaska,2015,0
Arizona,2015,103
Arkansas,2015,18
California,2015,783
Colorado,2015,101
Connecticut,2015,10
Delaware,2015,6
"Washington, D.C.",2015,5
Florida,2015,13
Georgia,2015,15
Hawaii,2015,0
Idaho,2015,13
Illinois,2015,77
Indiana,2015,21
Iowa,2015,14
Kansas,2015,34
Kentucky,2015,2
Louisiana,2015,51
Maine,2015,1
Maryland,2015,45
Massachusetts,2015,10
Michigan,2015,18
Minnesota,2015,9
Mississippi,2015,38
Missouri,2015,29
Montana,2015,3
Nebraska,2015,68
Nevada,2015,7
New Hampshire,2015,0
New Jersey,2015,26
New Mexico,2015,14
New York,2015,57
North Carolina,2015,4
North Dakota,2015,23
Ohio,2015,35
Oklahoma,2015,89
Oregon,2015,1
Pennsylvania,2015,30
Puerto Rico,2015,0
Rhode Island,2015,0
South Carolina,2015,0
South Dakota,2015,40
Tennessee,2015,8
Texas,2015,275
Utah,2015,8
Vermont,2015,0
Virginia,2015,21
Washington,2015,24
West Virginia,2015,0
Wisconsin,2015,9
Wyoming,2015,8
Alabama,2016,19
Alaska,2016,0
Arizona,2016,78
Arkansas,2016,9
California,2016,442
Colorado,2016,149
Connecticut,2016,1
Delaware,2016,0
"Washington, D.C.",2016,1
Florida,2016,8
Georgia,2016,6
Hawaii,2016,0
Idaho,2016,9
Illinois,2016,154
Indiana,2016,18
Iowa,2016,37
Kansas,2016,37
Kentucky,2016,8
Louisiana,2016,59
Maine,2016,0
Maryland,2016,6
Massachusetts,2016,17
Michigan,2016,43
Minnesota,2016,83
Mississippi,2016,43
Missouri,2016,11
Montana,2016,6
Nebraska,2016,95
Nevada,2016,16
New Hampshire,2016,0
New Jersey,2016,11
New Mexico,2016,6
New York,2016,22
North Carolina,2016,2
North Dakota,2016,85
Ohio,2016,17
Oklahoma,2016,35
Oregon,2016,4
Pennsylvania,2016,16
Puerto Rico,2016,0
Rhode Island,2016,2
South Carolina,2016,8
South Dakota,2016,152
Tennessee,2016,7
Texas,2016,370
Utah,2016,13
Vermont,2016,2
Virginia,2016,8
Washington,2016,9
West Virginia,2016,1
Wisconsin,2016,13
Wyoming,2016,11
Alabama,2017,60
Alaska,2017,0
Arizona,2017,111
Arkansas,2017,18
California,2017,553
Colorado,2017,68
Connecticut,2017,3
Delaware,2017,1
"Washington, D.C.",2017,4
Florida,2017,5
Georgia,2017,48
Hawaii,2017,0
Idaho,2017,25
Illinois,2017,90
Indiana,2017,26
Iowa,2017,12
Kansas,2017,27
Kentucky,2017,10
Louisiana,2017,53
Maine,2017,0
Maryland,2017,6
Massachusetts,2017,6
Michigan,2017,40
Minnesota,2017,30
Mississippi,2017,63
Missouri,2017,19
Montana,2017,11
Nebraska,2017,68
Nevada,2017,67
New Hampshire,2017,1
New Jersey,2017,8
New Mexico,2017,33
New York,2017,51
North Carolina,2017,8
North Dakota,2017,62
Ohio,2017,34
Oklahoma,2017,42
Oregon,2017,6
Pennsylvania,2017,20
Puerto Rico,2017,0
Rhode Island,2017,2
South Carolina,2017,18
South Dakota,2017,73
Tennessee,2017,30
Texas,2017,135
Utah,2017,62
Vermont,2017,3
Virginia,2017,13
Washington,2017,13
West Virginia,2017,1
Wisconsin,2017,51
Wyoming,2017,7
Alabama,2018,28
Alaska,2018,1
Arizona,2018,26
Arkansas,2018,8
California,2018,217
Colorado,2018,96
Connecticut,2018,23
Delaware,2018,10
"Washington, D.C.",2018,13
Florida,2018,35
Georgia,2018,36
Hawaii,2018,0
Idaho,2018,16
Illinois,2018,176
Indiana,2018,35
Iowa,2018,104
Kansas,2018,47
Kentucky,2018,12
Louisiana,2018,83
Maine,2018,2
Maryland,2018,45
Massachusetts,2018,49
Michigan,2018,102
Minnesota,2018,63
Mississippi,2018,50
Missouri,2018,23
Montana,2018,47
Nebraska,2018,251
Nevada,2018,9
New Hampshire,2018,0
New Jersey,2018,61
New Mexico,2018,7
New York,2018,98
North Carolina,2018,10
North Dakota,2018,204
Ohio,2018,65
Oklahoma,2018,18
Oregon,2018,2
Pennsylvania,2018,130
Puerto Rico,2018,0
Rhode Island,2018,1
South Carolina,2018,15
South Dakota,2018,169
Tennessee,2018,12
Texas,2018,146
Utah,2018,11
Vermont,2018,1
Virginia,2018,48
Washington,2018,3
West Virginia,2018,2
Wisconsin,2018,33
Wyoming,2018,4
Alabama,2019,5
Alaska,2019,1
Arizona,2019,174
Arkansas,2019,9
California,2019,225
Colorado,2019,122
Connecticut,2019,1
Delaware,2019,0
"Washington, D.C.",2019,11
Florida,2019,2
Georgia,2019,14
Hawaii,2019,0
Idaho,2019,13
Illinois,2019,28
Indiana,2019,4
Iowa,2019,5
Kansas,2019,13
Kentucky,2019,10
Louisiana,2019,20
Maine,2019,0
Maryland,2019,7
Massachusetts,2019,5
Michigan,2019,12
Minnesota,2019,5
Mississippi,2019,15
Missouri,2019,5
Montana,2019,3
Nebraska,2019,28
Nevada,2019,46
New Hampshire,2019,0
New Jersey,2019,8
New Mexico,2019,40
New York,2019,17
North Carolina,2019,1
North Dakota,2019,9
Ohio,2019,3
Oklahoma,2019,8
Oregon,2019,9
Pennsylvania,2019,7
Puerto Rico,2019,0
Rhode Island,2019,0
South Carolina,2019,2
South Dakota,2019,11
Tennessee,2019,3
Texas,2019,32
Utah,2019,21
Vermont,2019,0
Virginia,2019,6
Washington,2019,5
West Virginia,2019,0
Wisconsin,2019,2
Wyoming,2019,4
